vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_location_id,dropoff_location_id,payment_type,fare_amount,tip_amount,total_amount
2,2023-01-26 18:33:00,2023-01-26 18:50:24.724287258,3.0,4.14,19,141,1,22.22,2.29,24.51
1,2023-01-29 18:27:00,2023-01-29 18:32:25.795456980,1.0,2.07,177,236,1,9.88,1.46,11.34
1,2023-01-12 19:13:00,2023-01-12 19:19:10.784361516,1.0,2.07,37,21,1,14.3,3.2,17.5
2,2023-01-10 13:56:00,2023-01-10 13:58:08.123497236,1.0,0.68,207,209,2,5.01,0.0,5.01
1,2023-01-10 16:03:00,2023-01-10 16:17:06.555142740,1.0,3.2,161,181,3,21.88,0.0,21.88
2,2023-01-13 05:24:00,2023-01-13 05:28:13.957795182,3.0,1.47,181,120,1,10.21,1.34,11.55
1,2023-01-01 18:12:00,2023-01-01 18:38:34.801834542,1.0,7.94,40,20,2,33.55,0.0,33.55
1,2023-01-23 13:09:00,2023-01-23 13:20:25.815824004,1.0,3.32,101,186,1,16.71,2.98,19.69
2,2023-01-14 07:24:00,2023-01-14 07:28:49.722179298,1.0,1.16,170,180,1,8.76,1.57,10.33
2,2023-01-31 08:00:00,2023-01-31 08:14:52.413918084,2.0,4.33,159,20,2,20.71,0.0,20.71
2,2023-01-20 08:34:00,2023-01-20 08:45:07.777358814,1.0,3.24,209,229,1,16.36,1.5,17.86
1,2023-01-31 18:46:00,2023-01-31 18:52:13.308112590,1.0,1.5,251,226,1,10.06,1.52,11.58
1,2023-01-26 07:38:00,2023-01-26 07:41:03.902220258,5.0,0.69,214,237,1,6.5,0.72,7.22
1,2023-01-01 14:20:00,2023-01-01 14:30:58.593115164,1.0,2.92,154,73,1,14.79,1.29,16.08
1,2023-01-11 06:18:00,2023-01-11 06:27:54.827038680,1.0,275.0616602056058,77,183,1,17.08,4.25,21.33
1,2023-01-28 08:32:00,2023-01-28 08:46:33.048276654,1.0,4.99,143,195,2,22.07,0.0,22.07
2,2023-01-08 17:22:00,2023-01-08 17:28:39.916232016,1.0,1.84,155,196,1,8.25,0.85,9.1
2,2023-01-01 12:18:00,2023-01-01 12:26:42.546150288,1.0,3.22,253,193,1,14.71,1.66,16.37
2,2023-01-27 17:58:00,2023-01-27 18:04:29.702116140,3.0,2.23,128,152,2,11.2,0.0,11.2
2,2023-01-29 14:49:00,2023-01-29 14:59:30.002009934,1.0,2.82,207,263,1,14.61,1.98,16.59
1,2023-01-28 19:54:00,2023-01-28 20:01:33.857194608,1.0,2.4,244,89,2,12.28,0.0,12.28
1,2023-01-22 21:09:00,2023-01-22 21:18:52.153856328,1.0,2.35,185,158,1,13.61,0.7,14.31
2,2023-01-11 07:30:00,2023-01-11 07:35:21.028451820,1.0,1.51,45,252,1,7.46,0.96,8.42
1,2023-01-08 09:49:00,2023-01-08 09:56:05.670851448,1.0,1.97,25,17,2,10.23,0.0,10.23
2,2023-01-09 07:13:00,2023-01-09 07:26:56.500447404,2.0,3.2,99,41,1,18.8,2.51,21.31
1,2023-01-24 23:19:00,2023-01-24 23:23:17.295444210,1.0,1.58,90,183,1,7.56,1.16,8.72
2,2023-01-21 04:37:00,2023-01-21 04:59:58.371806928,1.0,6.38,199,101,3,28.54,0.0,28.54
2,2023-01-24 08:37:00,2023-01-24 08:47:34.232811318,1.0,4.01,262,210,1,17.64,2.36,20.0
2,2023-01-07 03:30:00,2023-01-07 03:40:53.936325360,1.0,2.48,258,109,2,15.42,0.0,15.42
2,2023-01-26 19:41:00,2023-01-26 19:52:11.431218810,1.0,2.49,235,195,1,15.85,1.73,17.58
2,2023-01-16 22:57:00,2023-01-16 23:03:02.047598496,2.0,2.01,262,86,1,9.13,1.13,10.26
1,2023-01-23 14:19:00,2023-01-23 14:20:42.597152088,2.0,0.52,103,247,1,6.18,0.62,6.8
1,2023-01-08 12:04:00,2023-01-08 12:14:51.908893170,,3.14,60,217,1,15.35,1.63,16.98
2,2023-01-31 07:18:00,2023-01-31 07:32:12.373747080,1.0,3.92,130,92,1,19.44,2.39,21.83
1,2023-01-16 21:36:00,2023-01-16 21:43:23.816528028,1.0,1.97,69,45,2,9.21,0.0,9.21
2,2023-01-13 21:43:00,2023-01-13 21:53:38.171087172,1.0,3.23,108,122,1,16.19,1.77,17.96
2,2023-01-21 15:06:00,2023-01-21 15:12:42.911298654,1.0,2.25,215,170,1,10.24,1.4,11.64
1,2023-01-02 23:02:00,2023-01-02 23:05:12.924717198,1.0,1.25,48,10,2,9.16,0.0,9.16
2,2023-01-06 14:56:00,2023-01-06 15:03:23.757819090,1.0,2.83,6,52,2,13.94,0.0,13.94
2,2023-01-07 04:20:00,2023-01-07 04:24:41.955584484,2.0,1.47,131,19,1,8.51,0.84,9.35
1,2023-01-19 14:29:00,2023-01-19 14:34:55.161966210,1.0,1.84,42,197,2,12.11,0.0,12.11
2,2023-01-10 10:03:00,2023-01-10 10:08:39.208237518,1.0,2.22,189,10,2,10.23,0.0,10.23
2,2023-01-13 15:42:00,2023-01-13 15:55:01.478101962,1.0,3.16,164,65,1,15.7,0.87,16.57
1,2023-01-11 17:34:00,2023-01-11 17:40:45.131999400,1.0,1.94,86,218,1,9.67,1.02,10.69
2,2023-01-04 10:32:00,2023-01-04 10:36:25.760312550,2.0,1.46,51,48,1,8.64,1.0,9.64
1,2023-01-28 19:18:00,2023-01-28 19:32:52.611592068,,4.14,99,215,1,17.28,2.34,19.62
1,2023-01-04 22:27:00,2023-01-04 22:38:45.621416622,1.0,3.11,222,190,1,15.13,3.23,18.36
1,2023-01-30 18:09:00,2023-01-30 18:20:10.119033594,1.0,2.58,209,94,2,16.65,0.0,16.65
2,2023-01-04 17:25:00,2023-01-04 17:40:07.694854734,1.0,5.83,162,72,1,23.06,2.09,25.15
2,2023-01-29 18:32:00,2023-01-29 18:42:25.410116040,1.0,2.58,145,95,1,16.98,2.2,19.18
1,2023-01-14 00:28:00,2023-01-14 00:31:08.880470508,1.0,0.76,170,79,2,6.54,0.0,6.54
2,2023-01-12 19:51:00,2023-01-12 20:02:33.479876351,1.0,4.27,146,206,2,19.22,0.0,19.22
2,2023-01-26 22:51:00,2023-01-26 23:06:28.856108610,1.0,3.48,125,52,1,21.24,4.55,25.79
1,2023-01-02 20:59:00,2023-01-02 21:01:55.709000394,1.0,0.73,139,239,2,5.05,0.0,5.05
2,2023-01-13 16:16:00,2023-01-13 16:25:30.720328698,1.0,3.45,178,78,1,13.52,1.96,15.48
2,2023-01-10 11:41:00,2023-01-10 11:49:11.419573080,1.0,2.14,200,124,2,9.16,0.0,9.16
1,2023-01-13 17:36:00,2023-01-13 17:40:38.787375450,3.0,1.19,60,252,4,4.67,0.0,4.67
2,2023-01-18 16:12:00,2023-01-18 16:25:05.377107390,1.0,2.97,10,118,2,13.77,0.0,13.77
2,2023-01-27 07:42:00,2023-01-27 07:48:27.924333960,1.0,2.35,167,259,1,9.56,1.04,10.6
1,2023-01-23 20:24:00,2023-01-23 20:37:52.656720684,4.0,3.22,26,185,2,15.97,0.0,15.97
2,2023-01-16 19:35:00,2023-01-16 19:40:41.335062762,1.0,2.21,47,209,2,12.11,0.0,12.11
2,2023-01-07 11:39:00,2023-01-07 11:47:10.518929634,1.0,2.23,33,251,2,10.77,0.0,10.77
2,2023-01-07 17:30:00,2023-01-07 17:37:08.576140410,1.0,1.79,156,108,2,11.02,0.0,11.02
1,2023-01-18 18:16:00,2023-01-18 18:24:57.064004940,3.0,2.67,136,54,1,14.16,2.2,16.36
1,2023-01-09 08:25:00,2023-01-09 08:30:37.736080344,2.0,1.6,212,186,1,9.54,0.28,9.82
2,2023-01-01 08:40:00,2023-01-01 08:55:15.280238448,1.0,4.85,66,28,1,21.01,2.52,23.53
1,2023-01-04 07:54:00,2023-01-04 08:06:34.322185932,1.0,3.16,111,231,1,16.19,3.06,19.25
2,2023-01-13 13:18:00,2023-01-13 13:29:43.515143238,6.0,3.16,137,93,1,16.75,1.45,18.2
1,2023-01-27 18:20:00,2023-01-27 18:26:44.667661104,1.0,1.61,144,252,2,7.1,0.0,7.1
2,2023-01-06 05:14:00,2023-01-06 05:25:44.897658288,1.0,3.46,48,121,1,16.07,2.51,18.58
2,2023-01-27 17:14:00,2023-01-27 17:32:11.716298322,2.0,4.09,219,42,1,21.62,1.76,23.38
1,2023-01-29 01:49:00,2023-01-29 01:56:39.091885464,,2.15,187,188,1,11.01,1.28,12.29
2,2023-01-11 22:28:00,2023-01-11 22:35:12.552548928,2.0,2.4,135,142,3,10.17,0.0,10.17
1,2023-01-13 20:14:00,2023-01-13 20:39:13.434875250,1.0,6.32,262,81,1,30.24,3.45,33.69
1,2023-01-07 08:35:00,2023-01-07 08:43:50.904827784,2.0,2.61,228,1,1,11.3,1.47,12.77
2,2023-01-05 06:06:00,2023-01-05 06:10:55.509270840,1.0,1.57,167,250,1,11.91,1.96,13.87
2,2023-01-22 08:30:00,2023-01-22 08:34:03.550185384,1.0,1.18,31,95,1,3.55,0.38,3.93
1,2023-01-20 07:33:00,2023-01-20 07:47:23.704024194,1.0,3.68,174,216,2,17.96,0.0,17.96
1,2023-01-11 18:50:00,2023-01-11 19:08:42.368840502,1.0,4.4,192,264,2,22.51,0.0,22.51
1,2023-01-06 11:13:00,2023-01-06 11:15:37.530115080,1.0,0.64,143,262,2,8.36,0.0,8.36
1,2023-01-28 09:31:00,2023-01-28 09:45:20.684388318,2.0,3.2,243,4,1,16.93,0.9,17.83
2,2023-01-13 22:31:00,2023-01-13 22:34:52.522978554,1.0,1.14,133,14,1,8.45,1.53,9.98
2,2023-01-07 19:40:00,2023-01-07 19:50:29.632092942,1.0,2.87,176,195,1,16.33,3.11,19.44
2,2023-01-28 23:25:00,2023-01-28 23:41:09.533602080,2.0,6.31,118,154,1,24.21,4.03,28.24
1,2023-01-19 22:19:00,2023-01-19 22:27:10.151558358,1.0,2.19,78,139,1,11.84,2.14,13.98
1,2023-01-10 17:51:00,2023-01-10 17:53:46.288876590,1.0,0.94,86,143,2,5.23,0.0,5.23
1,2023-01-03 10:38:00,2023-01-03 10:46:17.330420124,3.0,2.68,207,128,2,11.82,0.0,11.82
1,2023-01-14 14:38:00,2023-01-14 14:51:41.962244202,2.0,3.98,222,34,1,19.09,1.94,21.03
1,2023-01-14 00:06:00,2023-01-14 00:17:16.345232250,1.0,2.6,113,109,2,17.33,0.0,17.33
1,2023-01-05 19:11:00,2023-01-05 19:17:20.473643268,1.0,1.41,228,250,1,10.56,1.35,11.91
2,2023-01-17 18:26:00,2023-01-17 18:31:15.027569046,1.0,1.97,43,237,2,10.96,0.0,10.96
1,2023-01-17 08:40:00,2023-01-17 08:55:27.645019206,2.0,4.86,51,166,1,22.97,3.24,26.21
1,2023-01-03 17:13:00,2023-01-03 17:19:47.245919838,1.0,2.27,112,202,1,10.83,1.51,12.34
1,2023-01-23 19:57:00,2023-01-23 20:09:02.347265082,1.0,4.28,129,130,1,20.6,2.67,23.27
2,2023-01-10 19:23:00,2023-01-10 19:29:42.395349804,1.0,1.84,160,192,1,11.04,1.6,12.64
2,2023-01-16 21:54:00,2023-01-16 22:03:26.858391660,1.0,2.19,175,132,1,11.95,0.78,12.73
2,2023-01-14 07:14:00,2023-01-14 07:24:26.175334710,4.0,2.37,173,176,1,14.0,1.37,15.37
1,2023-01-14 08:28:00,2023-01-14 08:39:04.027602077,1.0,2.53,134,26,2,15.33,0.0,15.33
1,2023-01-24 09:03:00,2023-01-24 09:06:19.529261340,3.0,0.78,200,219,1,8.5,1.94,10.44
2,2023-01-11 18:50:00,2023-01-11 19:07:14.031836832,2.0,4.62,62,128,1,19.53,2.13,21.66
2,2023-01-25 15:23:00,2023-01-25 15:39:31.005767442,,4.26,145,207,1,20.82,2.97,23.79
1,2023-01-11 12:14:00,2023-01-11 12:30:11.359589088,1.0,3.85,210,41,1,19.1,2.13,21.23
2,2023-01-24 18:10:00,2023-01-24 18:14:17.157626406,1.0,0.96,263,84,1,7.22,1.11,8.33
2,2023-01-12 13:35:00,2023-01-12 13:49:52.171162092,5.0,4.17,158,66,2,21.06,0.0,21.06
2,2023-01-06 18:26:00,2023-01-06 18:34:01.432081704,1.0,2.53,174,195,1,14.2,1.65,15.85
2,2023-01-09 20:04:00,2023-01-09 20:11:41.446280190,1.0,1.77,127,107,1,10.63,1.13,11.76
2,2023-01-08 17:29:00,2023-01-08 17:35:52.559650176,1.0,1.89,90,22,1,10.39,1.01,11.4
1,2023-01-07 15:28:00,2023-01-07 15:56:45.519259170,,7.87,174,46,2,37.62,0.0,37.62
2,2023-01-09 23:03:00,2023-01-09 23:08:22.532306898,1.0,1.32,109,66,2,7.58,0.0,7.58
1,2023-01-14 08:23:00,2023-01-14 08:29:27.131606562,1.0,1.83,246,195,1,10.35,1.19,11.54
1,2023-01-08 08:41:00,2023-01-08 08:47:10.199478216,1.0,2.36,18,238,1,13.41,1.52,14.93
1,2023-01-20 23:08:00,2023-01-20 23:12:13.396105194,1.0,1.54,216,76,1,11.42,2.64,14.06
1,2023-01-27 01:52:00,2023-01-27 02:03:34.677930804,,4.07,70,241,1,19.0,3.09,22.09
2,2023-01-27 22:35:00,2023-01-27 22:48:23.837386632,1.0,3.17,7,253,1,14.73,2.32,17.05
2,2023-01-10 23:14:00,2023-01-10 23:21:12.229625952,2.0,2.19,17,124,2,10.78,0.0,10.78
1,2023-01-20 07:14:00,2023-01-20 07:18:11.226227628,1.0,1.25,31,107,1,6.86,0.69,7.55
2,2023-01-08 21:57:00,2023-01-08 22:04:22.210294200,1.0,2.64,222,104,1,12.0,1.66,13.66
2,2023-01-04 18:40:00,2023-01-04 18:48:58.287870738,1.0,2.3,114,129,2,14.32,0.0,14.32
1,2023-01-11 18:43:00,2023-01-11 19:01:00.149689212,1.0,6.12,18,35,1,27.1,3.84,30.94
2,2023-01-05 09:26:00,2023-01-05 09:35:06.853666602,6.0,3.02,45,236,1,16.2,2.21,18.41
2,2023-01-14 14:26:00,2023-01-14 14:35:50.011169940,1.0,3.34,183,91,2,15.65,0.0,15.65
2,2023-01-14 01:11:00,2023-01-14 01:16:56.640192414,1.0,2.33,77,9,1,10.87,2.14,13.01
2,2023-01-04 06:46:00,2023-01-04 06:56:10.528417596,1.0,2.81,107,243,1,17.81,2.28,20.09
1,2023-01-28 09:10:00,2023-01-28 09:21:28.372780806,1.0,3.45,168,118,3,16.6,0.0,16.6
1,2023-01-11 15:04:00,2023-01-11 15:10:28.285789122,1.0,2.17,104,240,1,9.53,1.45,10.98
2,2023-01-05 16:33:00,2023-01-05 16:42:18.105356010,2.0,3.17,8,190,1,15.87,1.71,17.58
2,2023-01-27 06:44:00,2023-01-27 06:55:26.254936266,2.0,2.56,162,39,1,15.85,2.25,18.1
